1612299;ENG1000;FIS1033;MAT1161;QUI1740
1413399;ENG1000;MAT1161;MAT1260
1511188;FIS1033;MAT1161;QUI1740
1412222;MAT1161;MAT1260;QUI1740
1619999;ENG1000;MAT1260
1412222;FIS1033;MAT1161;MAT1260
1617777;MAT1260;QUI1740
1418833;ENG1000;FIS1033
1611155;MAT1260;QUI1740
1414466;FIS1033;MAT1161;MAT1260
1312211;FIS1033;QUI1740
1713300;ENG1000;FIS1033;MAT1161;MAT1260
1111188;MAT1161;MAT1260
1412200;ENG1000;MAT1260
1519911;MAT1260;QUI1740
1512211;ENG1000;MAT1161
1417700;FIS1033;QUI1740
1618811;MAT1260;QUI1740
1511100;MAT1161;MAT1260
1414400;ENG1000;MAT1161;MAT1260